C02 emission private jet,Sakhir,Jeddah,Melbourne,Baku,Miami,Imola,Monaco,Barcelona,Montreal,Spielberg,Silverstone,Budapest,Spa Francorchamps,Zandvoort,Monza,Singapore,Suzuka,Lusail,Austin,Mexico City,Sao Paulo,Las Vegas,Yas Marina
Sakhir,0,3775.605753,36337.32923,4786.549772,36557.53209,12055.98711,12996.75308,14133.88838,30776.55766,11734.36224,15474.36528,10888.01836,13921.74716,14415.79965,12727.32877,18979.6415,24160.99308,335.6502984,38725.06086,41971.65906,35440.29057,38829.61256,1338.853987
Jeddah,3775.605753,0,38451.76385,6950.617063,34816.75316,10678.51447,11430.04525,12262.35244,29787.55165,10756.49735,14446.07961,10164.1503,12922.7864,13545.20817,11391.83802,22060.07358,27878.10769,3987.431997,37895.54242,40724.12864,31666.07003,39141.34682,4847.218433
Melbourne,36337.32923,38451.76385,0,38968.96974,46782.93863,48259.73285,49264.64361,50470.56528,50221.64929,47636.92306,50841.89293,46638.8525,49534.99078,49717.17552,48862.07207,18173.7028,24388.49781,36001.771,42859.83757,40690.34734,39190.44821,39393.7887,35025.58098
Baku,4786.549772,6950.617063,38968.96974,0,33046.63598,9406.047949,10450.23283,11837.70747,26789.58809,8670.479237,12090.21551,7670.02351,10634.39346,10956.12802,9938.884937,20840.96884,22028.96481,4983.626426,34466.08274,37895.90579,36649.64321,34120.35515,5467.660718
Miami,36557.53209,34816.75316,46782.93863,33046.63598,0,24518.27761,23614.18746,22608.45489,6763.435901,24835.73111,21131.08344,25721.12762,22669.62532,22226.76251,23836.99414,50859.93432,36673.46728,36886.54222,5300.904056,6192.706428,19788.32494,10476.93833,37798.93251
Imola,12055.98711,10678.51447,48259.73285,9406.047949,24518.27761,0,1046.756857,2484.619958,19115.95518,1194.390708,3818.932018,2053.887081,2409.899694,3116.461561,713.5209563,30233.39888,28795.46681,12388.26111,27222.37576,30164.2932,28835.36095,28775.13709,13331.0772
Monaco,12996.75308,11430.04525,49264.64361,10450.23283,23614.18746,1046.756857,0,1459.703861,18365.957,2070.623172,3356.351455,3035.806304,2258.964759,2956.480945,767.9569839,31271.93739,29621.61926,13330.6208,26472.00653,29336.69936,27920.38935,28241.44639,14285.9283
Barcelona,14133.88838,12262.35244,50470.56528,11837.70747,22608.45489,2484.619958,1459.703861,0,17673.87203,3520.21225,3581.579757,4495.293922,3079.384431,3646.070468,2169.384925,32619.47547,30970.07798,14469.38385,25744.7228,28462.40986,26503.21751,27863.90058,15445.11421
Montreal,30776.55766,29787.55165,50221.64929,26789.58809,6763.435901,19115.95518,18365.957,17673.87203,0,19169.37476,15411.70828,19932.69823,16964.34117,16409.83644,18403.95478,44415.35673,31750.36789,31087.43096,8107.991188,11196.25504,24480.69461,10836.43887,31905.24876
Spielberg,11734.36224,10756.49735,47636.92306,8670.479237,24835.73111,1194.390708,2070.623172,3520.21225,19169.37476,0,3761.918663,1020.481067,2205.856572,2790.39091,1366.480445,29502.1981,27610.38172,12060.07541,27246.64308,30313.21743,29983.20681,28482.28069,12963.20768
Silverstone,15474.36528,14446.07961,50841.89293,12090.21551,21131.08344,3818.932018,3356.351455,3581.579757,15411.70828,3761.918663,0,4593.114221,1556.910438,1140.216207,3117.046766,32707.10685,28522.02407,15797.18458,23498.54222,26551.77215,28565.91428,24960.48247,16682.20197
Budapest,10888.01836,10164.1503,46638.8525,7670.02351,25721.12762,2053.887081,3035.806304,4495.293922,19932.69823,1020.481067,4593.114221,0,3052.521866,3529.986274,2372.811742,28492.15365,26795.71335,11209.02609,27976.37156,31108.43741,30883.79237,28994.27228,12089.21269
Spa Francorchamps,13921.74716,12922.7864,49534.99078,10634.39346,22669.62532,2409.899694,2258.964759,3079.384431,16964.34117,2205.856572,1556.910438,3052.521866,0,716.1775856,1768.20414,31362.03105,28098.03734,14245.38229,25045.69726,28108.61615,29185.60322,26401.6763,15135.74934
Zandvoort,14415.79965,13545.20817,49717.17552,10956.12802,22226.76251,3116.461561,2956.480945,3646.070468,16409.83644,2790.39091,1140.216207,3529.986274,716.1775856,0,2484.068446,31571.38066,27771.72933,14735.62128,24471.01125,27579.35027,29421.93286,25732.35351,15606.44025
Monza,12727.32877,11391.83802,48862.07207,9938.884937,23836.99414,713.5209563,767.9569839,2169.384925,18403.95478,1366.480445,3117.046766,2372.811742,1768.20414,2484.068446,0,30779.64254,28856.75024,13058.54116,26509.95927,29460.47439,28666.09276,28077.3507,13993.53326
Singapore,18979.6415,22060.07358,18173.7028,20840.96884,50859.93432,30233.39888,31271.93739,32619.47547,44415.35673,29502.1981,32707.10685,28492.15365,31362.03105,31571.38066,30779.64254,0,15107.81992,18656.42003,47530.88526,49841.49853,47946.27839,42661.4776,17646.61673
Suzuka,24160.99308,27878.10769,24388.49781,22028.96481,36673.46728,28795.46681,29621.61926,30970.07798,31750.36789,27610.38172,28522.02407,26795.71335,28098.03734,27771.72933,28856.75024,15107.81992,0,24010.07701,32489.12383,34798.17979,56212.03586,27557.66943,23361.61953
Lusail,335.6502984,3987.431997,36001.771,4983.626426,36886.54222,12388.26111,13330.6208,14469.38385,31087.43096,12060.07541,15797.18458,11209.02609,14245.38229,14735.62128,13058.54116,18656.42003,24010.07701,0,39023.46103,42283.39206,35650.05529,39067.08075,1010.436296
Austin,38725.06086,37895.54242,42859.83757,34466.08274,5300.904056,27222.37576,26472.00653,25744.7228,8107.991188,27246.64308,23498.54222,27976.37156,25045.69726,24471.01125,26509.95927,47530.88526,32489.12383,39023.46103,0,3607.369026,24254.24688,5279.428308,39778.65815
Mexico City,41971.65906,40724.12864,40690.34734,37895.90579,6192.706428,30164.2932,29336.69936,28462.40986,11196.25504,30313.21743,26551.77215,31108.43741,28108.61615,27579.35027,29460.47439,49841.49853,34798.17979,42283.39206,3607.369026,0,22292.64967,7299.537404,43097.44415
Sao Paulo,35440.29057,31666.07003,39190.44821,36649.64321,19788.32494,28835.36095,27920.38935,26503.21751,24480.69461,29983.20681,28565.91428,30883.79237,29185.60322,29421.93286,28666.09276,47946.27839,56212.03586,35650.05529,24254.24688,22292.64967,0,29362.72312,36446.34602
Las Vegas,38829.61256,39141.34682,39393.7887,34120.35515,10476.93833,28775.13709,28241.44639,27863.90058,10836.43887,28482.28069,24960.48247,28994.27228,26401.6763,25732.35351,28077.3507,42661.4776,27557.66943,39067.08075,5279.428308,7299.537404,29362.72312,0,39578.80344
Yas Marina,1338.853987,4847.218433,35025.58098,5467.660718,37798.93251,13331.0772,14285.9283,15445.11421,31905.24876,12963.20768,16682.20197,12089.21269,15135.74934,15606.44025,13993.53326,17646.61673,23361.61953,1010.436296,39778.65815,43097.44415,36446.34602,39578.80344,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,